0.718390805,1,ireland
0.759018759,2,ireland
0.762931034,3,ireland
0.749279539,4,ireland
0.785919540,5,ireland
0.742402315,1,austria
0.724238026,2,austria
0.710144928,3,austria
0.741654572,4,austria
0.732272069,5,austria
0.751908397,1,germany
0.768642447,2,germany
0.764367816,3,germany
0.758157390,4,germany
0.718390805,5,germany
0.731411229,1,netherlands
0.710606061,2,netherlands
0.740909091,3,netherlands
0.730303030,4,netherlands
0.716666667,5,netherlands
0.714912281,1,spain
0.751824818,2,spain
0.707602339,3,spain
0.723684211,4,spain
0.710526316,5,spain
0.724452555,1,sweden
0.734061931,2,sweden
0.721818182,3,sweden
0.690476190,4,sweden
0.729927007,5,sweden
0.681818182,1,denmark
0.708029197,2,denmark
0.652727273,3,denmark
0.714545455,4,denmark
0.704174229,5,denmark
0.685454545,1,uk
0.680000000,2,uk
0.693284936,3,uk
0.071038251,4,uk
0.665454545,5,uk
0.579234973,1,poland
0.594890511,2,poland
