357.361006916,1,ireland
323.588550293,2,ireland
321.560965101,3,ireland
324.402550285,4,ireland
321.962939571,5,ireland
332.605385913,1,austria
319.976121380,2,austria
319.955791435,3,austria
318.571268930,4,austria
320.518396897,5,austria
254.487830706,1,denmark
255.607279815,2,denmark
254.838759998,3,denmark
256.401302974,4,denmark
251.770927968,5,denmark
239.269075003,1,germany
241.064771769,2,germany
239.690789582,3,germany
239.352413053,4,germany
240.051442173,5,germany
304.337123017,1,netherlands
303.348471575,2,netherlands
302.853953896,3,netherlands
304.241261787,4,netherlands
303.410590204,5,netherlands
252.753905957,1,poland
254.292045224,2,poland
252.759444634,3,poland
252.870091797,4,poland
253.799077792,5,poland
315.140069312,1,spain
313.857881077,2,spain
314.420015677,3,spain
316.521534283,4,spain
315.280331777,5,spain
269.472188201,1,sweden
254.203321912,2,sweden
251.440878520,3,sweden
254.855519497,4,sweden
252.386924067,5,sweden
256.637074891,1,uk
255.894720263,2,uk
255.418672639,3,uk
255.043337975,4,uk
255.190265811,5,uk
